gene_name_a	oln_id_a	gene_description_a	gene_name_b	oln_id_b	gene_description_b	type_of_interaction
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	COG2	YGR120C	Conserved oligomeric Golgi complex subunit 2	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	NA	YHR078W	Uncharacterized protein YHR078W	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	YCK1	YHR135C	Casein kinase I homolog 1	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	BET1	YIL004C	Protein transport protein BET1	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	RPB3	YIL021W	DNA-directed RNA polymerase II subunit RPB3	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	BCY1	YIL033C	cAMP-dependent protein kinase regulatory subunit	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	CKA1	YIL035C	Casein kinase II subunit alpha	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	SEC28	YIL076W	Coatomer subunit epsilon	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	SEC24	YIL109C	Protein transport protein SEC24	ng
YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	NA	YJR146W	Uncharacterized protein YJR146W	ng
TOR2	YKL203C	Serine/threonine-protein kinase TOR2	SKT5	YBL061C	Protein SKT5 precursor	ng
TOR2	YKL203C	Serine/threonine-protein kinase TOR2	SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	ng
TOR2	YKL203C	Serine/threonine-protein kinase TOR2	SEC9	YGR009C	Protein transport protein SEC9	ng
TOR2	YKL203C	Serine/threonine-protein kinase TOR2	CRM1	YGR218W	Exportin-1	ng
LOS1	YKL205W	Exportin-T	TYS1	YGR185C	Tyrosine--tRNA ligase, cytoplasmic	ng
ADD66	YKL206C	Proteasome assembly chaperone 2	RPN4	YDL020C	Protein RPN4	ng
UBA1	YKL210W	Ubiquitin-activating enzyme E1 1	APC11	YDL008W	Anaphase-promoting complex subunit 11	ng
UBA1	YKL210W	Ubiquitin-activating enzyme E1 1	SLX5	YDL013W	E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5	ng
UBA1	YKL210W	Ubiquitin-activating enzyme E1 1	SWI4	YER111C	Regulatory protein SWI4	ng
UBA1	YKL210W	Ubiquitin-activating enzyme E1 1	SWE1	YJL187C	Mitosis inhibitor protein kinase SWE1	ng
SAC1	YKL212W	Phosphoinositide phosphatase SAC1	SWH1	YAR042W	Oxysterol-binding protein homolog 1	ng
SAC1	YKL212W	Phosphoinositide phosphatase SAC1	SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	ng
DOA1	YKL213C	Protein DOA1	SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	ng
DOA1	YKL213C	Protein DOA1	RCR1	YBR005W	Protein RCR1	ng
DOA1	YKL213C	Protein DOA1	UBP14	YBR058C	Ubiquitin carboxyl-terminal hydrolase 14	ng
DOA1	YKL213C	Protein DOA1	CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	ng
DOA1	YKL213C	Protein DOA1	ARC40	YBR234C	Actin-related protein 2/3 complex subunit 1	ng
DOA1	YKL213C	Protein DOA1	UBC1	YDR177W	Ubiquitin-conjugating enzyme E2 1	ng
DOA1	YKL213C	Protein DOA1	RSP5	YER125W	E3 ubiquitin-protein ligase RSP5	ng
DOA1	YKL213C	Protein DOA1	FTR1	YER145C	Plasma membrane iron permease	ng
DOA1	YKL213C	Protein DOA1	OTU1	YFL044C	Ubiquitin thioesterase OTU1	ng
YRA2	YKL214C	RNA annealing protein YRA2	SAC3	YDR159W	Nuclear mRNA export protein SAC3	ng
YRA2	YKL214C	RNA annealing protein YRA2	XRN1	YGL173C	5'-3' exoribonuclease 1	ng
YRA2	YKL214C	RNA annealing protein YRA2	NUP57	YGR119C	Nucleoporin NUP57	ng
VPS1	YKR001C	Vacuolar protein sorting-associated protein 1	SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	ng
VPS1	YKR001C	Vacuolar protein sorting-associated protein 1	ARL1	YBR164C	ADP-ribosylation factor-like protein 1	ng
VPS1	YKR001C	Vacuolar protein sorting-associated protein 1	PAC10	YGR078C	Prefoldin subunit 3	ng
VPS1	YKR001C	Vacuolar protein sorting-associated protein 1	GOS1	YHL031C	Golgi SNAP receptor complex member 1	ng
VPS1	YKR001C	Vacuolar protein sorting-associated protein 1	LSM1	YJL124C	Sm-like protein LSm1	ng
PAP1	YKR002W	Poly(A) polymerase	PCF11	YDR228C	Protein PCF11	ng
PAP1	YKR002W	Poly(A) polymerase	RNA15	YGL044C	mRNA 3'-end-processing protein RNA15	ng
MRPL13	YKR006C	54S ribosomal protein L13, mitochondrial precursor	ARC40	YBR234C	Actin-related protein 2/3 complex subunit 1	ng
MRPL13	YKR006C	54S ribosomal protein L13, mitochondrial precursor	COG3	YER157W	Conserved oligomeric Golgi complex subunit 3	ng
MRPL13	YKR006C	54S ribosomal protein L13, mitochondrial precursor	PRP43	YGL120C	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43	ng
MRPL13	YKR006C	54S ribosomal protein L13, mitochondrial precursor	SEC27	YGL137W	Coatomer subunit beta'	ng
MEH1	YKR007W	Protein MEH1	KOG1	YHR186C	Target of rapamycin complex 1 subunit KOG1	ng
MEH1	YKR007W	Protein MEH1	TOR1	YJR066W	Serine/threonine-protein kinase TOR1	ng
MEH1	YKR007W	Protein MEH1	YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	ng
RSC4	YKR008W	Chromatin structure-remodeling complex subunit RSC4	SWD1	YAR003W	COMPASS component SWD1	ng
RSC4	YKR008W	Chromatin structure-remodeling complex subunit RSC4	SPT6	YGR116W	Transcription elongation factor SPT6	ng
TOF2	YKR010C	Topoisomerase 1-associated factor 2	BRN1	YBL097W	Condensin complex subunit 2	ng
TOF2	YKR010C	Topoisomerase 1-associated factor 2	SCS2	YER120W	Vesicle-associated membrane protein-associated protein SCS2	ng
TOF2	YKR010C	Topoisomerase 1-associated factor 2	ORC6	YHR118C	Origin recognition complex subunit 6	ng
NA	YKR011C	Uncharacterized protein YKR011C	NA	YER079W	Uncharacterized protein YER079W	ng
NA	YKR011C	Uncharacterized protein YKR011C	PHB2	YGR231C	Prohibitin-2	ng
PRY2	YKR013W	Protein PRY2 precursor	ULI1	YFR026C	Unfolded protein response-inducible protein 1	ng
YPT52	YKR014C	GTP-binding protein YPT52	ANP1	YEL036C	Mannan polymerase II complex ANP1 subunit	ng
YPT52	YKR014C	GTP-binding protein YPT52	COG3	YER157W	Conserved oligomeric Golgi complex subunit 3	ng
NA	YKR015C	Uncharacterized protein YKR015C	TFB1	YDR311W	RNA polymerase II transcription factor B subunit 1	ng
VPS51	YKR020W	Vacuolar protein sorting-associated protein 51	SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	ng
VPS51	YKR020W	Vacuolar protein sorting-associated protein 51	BEM1	YBR200W	Bud emergence protein 1	ng
VPS51	YKR020W	Vacuolar protein sorting-associated protein 51	NBP2	YDR162C	NAP1-binding protein 2	ng
VPS51	YKR020W	Vacuolar protein sorting-associated protein 51	TLG1	YDR468C	T-SNARE affecting a late Golgi compartment protein 1	ng
VPS51	YKR020W	Vacuolar protein sorting-associated protein 51	GIN4	YDR507C	Serine/threonine-protein kinase GIN4	ng
VPS51	YKR020W	Vacuolar protein sorting-associated protein 51	SMI1	YGR229C	Cell wall assembly regulator SMI1	ng
VPS51	YKR020W	Vacuolar protein sorting-associated protein 51	ARP4	YJL081C	Actin-related protein 4	ng
NTR2	YKR022C	Pre-mRNA-splicing factor NTR2	PSY4	YBL046W	Serine/threonine-protein phosphatase 4 regulatory subunit 2	ng
NTR2	YKR022C	Pre-mRNA-splicing factor NTR2	INO2	YDR123C	Protein INO2	ng
NTR2	YKR022C	Pre-mRNA-splicing factor NTR2	GCD11	YER025W	Eukaryotic translation initiation factor 2 subunit gamma	ng
NTR2	YKR022C	Pre-mRNA-splicing factor NTR2	PRP43	YGL120C	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43	ng
DBP7	YKR024C	ATP-dependent RNA helicase DBP7	MAK21	YDR060W	Ribosome biogenesis protein MAK21	ng
DBP7	YKR024C	ATP-dependent RNA helicase DBP7	RRP1	YDR087C	Ribosomal RNA-processing protein 1	ng
DBP7	YKR024C	ATP-dependent RNA helicase DBP7	NOP7	YGR103W	Pescadillo homolog {ECO:0000255|HAMAP-Rule:MF_03028, ECO:0000303|PubMed:12022229}	ng
GCN3	YKR026C	Translation initiation factor eIF-2B subunit alpha	GCD11	YER025W	Eukaryotic translation initiation factor 2 subunit gamma	ng
GCN3	YKR026C	Translation initiation factor eIF-2B subunit alpha	RTG2	YGL252C	Retrograde regulation protein 2	ng
GCN3	YKR026C	Translation initiation factor eIF-2B subunit alpha	SUI2	YJR007W	Eukaryotic translation initiation factor 2 subunit alpha	ng
BCH2	YKR027W	Protein BCH2	HSF1	YGL073W	Heat shock factor protein	ng
BCH2	YKR027W	Protein BCH2	CHS6	YJL099W	Chitin biosynthesis protein CHS6	ng
SAP190	YKR028W	SIT4-associating protein SAP190	YRA2	YKL214C	RNA annealing protein YRA2	ng
SET3	YKR029C	SET domain-containing protein 3	URA7	YBL039C	CTP synthase 1	ng
SET3	YKR029C	SET domain-containing protein 3	COP1	YDL145C	Coatomer subunit alpha	ng
SET3	YKR029C	SET domain-containing protein 3	NUG1	YER006W	Nuclear GTP-binding protein NUG1	ng
SET3	YKR029C	SET domain-containing protein 3	SWP82	YFL049W	SWI/SNF global transcription activator complex subunit SWP82	ng
SET3	YKR029C	SET domain-containing protein 3	SPT6	YGR116W	Transcription elongation factor SPT6	ng
SET3	YKR029C	SET domain-containing protein 3	RIX1	YHR197W	Pre-rRNA-processing protein RIX1	ng
GMH1	YKR030W	Protein GMH1	MNN10	YDR245W	Probable alpha-1,6-mannosyltransferase MNN10	ng
DID2	YKR035W-A	Vacuolar protein-sorting-associated protein 46	SEC66	YBR171W	Translocation protein SEC66	ng
DID2	YKR035W-A	Vacuolar protein-sorting-associated protein 46	UBC8	YEL012W	Ubiquitin-conjugating enzyme E2-24 kDa	ng
DID2	YKR035W-A	Vacuolar protein-sorting-associated protein 46	SWI4	YER111C	Regulatory protein SWI4	ng
DID2	YKR035W-A	Vacuolar protein-sorting-associated protein 46	VFA1	YER128W	VPS4-associated protein 1	ng
DID2	YKR035W-A	Vacuolar protein-sorting-associated protein 46	LSM1	YJL124C	Sm-like protein LSm1	ng
CAF4	YKR036C	CCR4-associated factor 4	CAF130	YGR134W	Protein CAF130	ng
KAE1	YKR038C	tRNA N6-adenosine threonylcarbamoyltransferase {ECO:0000255|HAMAP-Rule:MF_03180}	NA	YJR146W	Uncharacterized protein YJR146W	ng
UTH1	YKR042W	Probable secreted beta-glucosidase UTH1 precursor	UTP4	YDR324C	U3 small nucleolar RNA-associated protein 4	ng
UTH1	YKR042W	Probable secreted beta-glucosidase UTH1 precursor	SMI1	YGR229C	Cell wall assembly regulator SMI1	ng
UTH1	YKR042W	Probable secreted beta-glucosidase UTH1 precursor	SIM1	YIL123W	Probable secreted beta-glucosidase SIM1 precursor	ng
PET10	YKR046C	Protein PET10	REF2	YDR195W	RNA end formation protein 2	ng
NAP1	YKR048C	Nucleosome assembly protein	LTE1	YAL024C	Guanine nucleotide exchange factor LTE1	ng
NAP1	YKR048C	Nucleosome assembly protein	CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	ng
NAP1	YKR048C	Nucleosome assembly protein	SRB6	YBR253W	Mediator of RNA polymerase II transcription subunit 22	ng
NAP1	YKR048C	Nucleosome assembly protein	CYK3	YDL117W	Cytokinesis protein 3	ng
NAP1	YKR048C	Nucleosome assembly protein	SHS1	YDL225W	Seventh homolog of septin 1	ng
NAP1	YKR048C	Nucleosome assembly protein	SSD1	YDR293C	Protein SSD1	ng
NAP1	YKR048C	Nucleosome assembly protein	CDC55	YGL190C	Protein phosphatase PP2A regulatory subunit B	ng
NAP1	YKR048C	Nucleosome assembly protein	CDC12	YHR107C	Cell division control protein 12	ng
NAP1	YKR048C	Nucleosome assembly protein	CDC11	YJR076C	Cell division control protein 11	ng
YSR3	YKR053C	Dihydrosphingosine 1-phosphate phosphatase YSR3	SFB3	YHR098C	SED5-binding protein 3	ng
DYN1	YKR054C	Dynein heavy chain, cytoplasmic	LTE1	YAL024C	Guanine nucleotide exchange factor LTE1	ng
DYN1	YKR054C	Dynein heavy chain, cytoplasmic	PAT1	YCR077C	DNA topoisomerase 2-associated protein PAT1	ng
DYN1	YKR054C	Dynein heavy chain, cytoplasmic	SSD1	YDR293C	Protein SSD1	ng
DYN1	YKR054C	Dynein heavy chain, cytoplasmic	RVS167	YDR388W	Reduced viability upon starvation protein 167	ng
DYN1	YKR054C	Dynein heavy chain, cytoplasmic	GIM4	YEL003W	Prefoldin subunit 2	ng
DYN1	YKR054C	Dynein heavy chain, cytoplasmic	CIN8	YEL061C	Kinesin-like protein CIN8	ng
DYN1	YKR054C	Dynein heavy chain, cytoplasmic	PAC2	YER007W	Protein PAC2	ng
DYN1	YKR054C	Dynein heavy chain, cytoplasmic	KIP3	YGL216W	Kinesin-like protein KIP3	ng
DYN1	YKR054C	Dynein heavy chain, cytoplasmic	PAC10	YGR078C	Prefoldin subunit 3	ng
DYN1	YKR054C	Dynein heavy chain, cytoplasmic	BFA1	YJR053W	Mitotic check point protein BFA1	ng
RPS21A	YKR057W	40S ribosomal protein S21-A	MON1	YGL124C	Vacuolar fusion protein MON1	ng
TIF1	YKR059W	ATP-dependent RNA helicase eIF4A	PKC1	YBL105C	Protein kinase C-like 1	ng
TIF1	YKR059W	ATP-dependent RNA helicase eIF4A	THR4	YCR053W	Threonine synthase	ng
TIF1	YKR059W	ATP-dependent RNA helicase eIF4A	CDC37	YDR168W	Hsp90 co-chaperone Cdc37	ng
TIF1	YKR059W	ATP-dependent RNA helicase eIF4A	LPD1	YFL018C	Dihydrolipoyl dehydrogenase, mitochondrial precursor	ng
TIF1	YKR059W	ATP-dependent RNA helicase eIF4A	TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	ng
TIF1	YKR059W	ATP-dependent RNA helicase eIF4A	COG2	YGR120C	Conserved oligomeric Golgi complex subunit 2	ng
TIF1	YKR059W	ATP-dependent RNA helicase eIF4A	NEO1	YIL048W	Probable phospholipid-transporting ATPase NEO1	ng
TIF1	YKR059W	ATP-dependent RNA helicase eIF4A	TIF2	YJL138C	ATP-dependent RNA helicase eIF4A	ng
TIF1	YKR059W	ATP-dependent RNA helicase eIF4A	MNN11	YJL183W	Probable alpha-1,6-mannosyltransferase MNN11	ng
UTP30	YKR060W	Ribosome biogenesis protein UTP30	UTP6	YDR449C	U3 small nucleolar RNA-associated protein 6	ng
UTP30	YKR060W	Ribosome biogenesis protein UTP30	UTP7	YER082C	U3 small nucleolar RNA-associated protein 7	ng
UTP30	YKR060W	Ribosome biogenesis protein UTP30	UTP9	YHR196W	U3 small nucleolar RNA-associated protein 9	ng
KTR2	YKR061W	Probable mannosyltransferase KTR2	PMP3	YDR276C	Plasma membrane proteolipid 3	ng
TFA2	YKR062W	Transcription initiation factor IIE subunit beta	HTA1	YDR225W	Histone H2A.1	ng
TFA2	YKR062W	Transcription initiation factor IIE subunit beta	TFB1	YDR311W	RNA polymerase II transcription factor B subunit 1	ng
TFA2	YKR062W	Transcription initiation factor IIE subunit beta	UBP3	YER151C	Ubiquitin carboxyl-terminal hydrolase 3	ng
TFA2	YKR062W	Transcription initiation factor IIE subunit beta	RSC8	YFR037C	Chromatin structure-remodeling complex protein RSC8	ng
TFA2	YKR062W	Transcription initiation factor IIE subunit beta	CEG1	YGL130W	mRNA-capping enzyme subunit alpha	ng
PAM17	YKR065C	Presequence translocated-associated motor subunit PAM17, mitochondrial precursor	IPP1	YBR011C	Inorganic pyrophosphatase	ng
PAM17	YKR065C	Presequence translocated-associated motor subunit PAM17, mitochondrial precursor	NUS1	YDL193W	Dehydrodolichyl diphosphate syntase complex subunit NUS1 {ECO:0000305}	ng
PAM17	YKR065C	Presequence translocated-associated motor subunit PAM17, mitochondrial precursor	PHB2	YGR231C	Prohibitin-2	ng
PAM17	YKR065C	Presequence translocated-associated motor subunit PAM17, mitochondrial precursor	UTP25	YIL091C	U3 small nucleolar RNA-associated protein 25	ng
PAM17	YKR065C	Presequence translocated-associated motor subunit PAM17, mitochondrial precursor	PAM16	YJL104W	Mitochondrial import inner membrane translocase subunit TIM16	ng
PAM17	YKR065C	Presequence translocated-associated motor subunit PAM17, mitochondrial precursor	CCT7	YJL111W	T-complex protein 1 subunit eta	ng
PAM17	YKR065C	Presequence translocated-associated motor subunit PAM17, mitochondrial precursor	TIM17	YJL143W	Mitochondrial import inner membrane translocase subunit TIM17	ng
PAM17	YKR065C	Presequence translocated-associated motor subunit PAM17, mitochondrial precursor	SSC1	YJR045C	Heat shock protein SSC1, mitochondrial precursor	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	KAP104	YBR017C	Importin subunit beta-2 {ECO:0000250|UniProtKB:Q92973}	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	ARL1	YBR164C	ADP-ribosylation factor-like protein 1	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	SEC66	YBR171W	Translocation protein SEC66	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	TRS20	YBR254C	Trafficking protein particle complex subunit 20	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	TRS85	YDR108W	Trafficking protein particle complex III-specific subunit 85	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	UME6	YDR207C	Transcriptional regulatory protein UME6	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	SEC26	YDR238C	Coatomer subunit beta	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	RPN9	YDR427W	26S proteasome regulatory subunit RPN9	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	SNU13	YEL026W	13 kDa ribonucleoprotein-associated protein	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	PUP3	YER094C	Proteasome subunit beta type-3	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	SWI4	YER111C	Regulatory protein SWI4	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	FRS2	YFL022C	Phenylalanine--tRNA ligase alpha subunit	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	RET2	YFR051C	Coatomer subunit delta	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	SRM1	YGL097W	Guanine nucleotide exchange factor SRM1	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	PRP43	YGL120C	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	SEC27	YGL137W	Coatomer subunit beta'	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	GOS1	YHL031C	Golgi SNAP receptor complex member 1	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	SSL2	YIL143C	DNA repair helicase RAD25	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	CCT7	YJL111W	T-complex protein 1 subunit eta	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	CPR7	YJR032W	Peptidyl-prolyl cis-trans isomerase CYP7	ng
BET3	YKR068C	Trafficking protein particle complex subunit BET3	CBF1	YJR060W	Centromere-binding protein 1	ng
SIS2	YKR072C	Phosphopantothenoylcysteine decarboxylase subunit SIS2	LRS4	YDR439W	Monopolin complex subunit LRS4	ng
SIS2	YKR072C	Phosphopantothenoylcysteine decarboxylase subunit SIS2	SNM1	YDR478W	Ribonuclease MRP protein subunit SNM1	ng
SIS2	YKR072C	Phosphopantothenoylcysteine decarboxylase subunit SIS2	CDC55	YGL190C	Protein phosphatase PP2A regulatory subunit B	ng
SIS2	YKR072C	Phosphopantothenoylcysteine decarboxylase subunit SIS2	PBS2	YJL128C	MAP kinase kinase PBS2	ng
MSA2	YKR077W	Putative transcriptional activator MSA2	DAL81	YIR023W	Transcriptional activator protein DAL81	ng
MSA2	YKR077W	Putative transcriptional activator MSA2	CDC11	YJR076C	Cell division control protein 11	ng
RPF2	YKR081C	Ribosome biogenesis protein RPF2	CSH1	YBR161W	Mannosyl phosphorylinositol ceramide synthase CSH1	ng
RPF2	YKR081C	Ribosome biogenesis protein RPF2	MRP1	YDR347W	37S ribosomal protein MRP1, mitochondrial precursor	ng
NUP133	YKR082W	Nucleoporin NUP133	COR1	YBL045C	Cytochrome b-c1 complex subunit 1, mitochondrial precursor	ng
NUP133	YKR082W	Nucleoporin NUP133	NUP170	YBL079W	Nucleoporin NUP170	ng
NUP133	YKR082W	Nucleoporin NUP133	CDS1	YBR029C	Phosphatidate cytidylyltransferase	ng
NUP133	YKR082W	Nucleoporin NUP133	FES1	YBR101C	Hsp70 nucleotide exchange factor FES1	ng
NUP133	YKR082W	Nucleoporin NUP133	CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	ng
NUP133	YKR082W	Nucleoporin NUP133	ASM4	YDL088C	Nucleoporin ASM4	ng
NUP133	YKR082W	Nucleoporin NUP133	GLE1	YDL207W	Nucleoporin GLE1	ng
NUP133	YKR082W	Nucleoporin NUP133	UBC1	YDR177W	Ubiquitin-conjugating enzyme E2 1	ng
NUP133	YKR082W	Nucleoporin NUP133	NUP42	YDR192C	Nucleoporin NUP42	ng
NUP133	YKR082W	Nucleoporin NUP133	UME6	YDR207C	Transcriptional regulatory protein UME6	ng
NUP133	YKR082W	Nucleoporin NUP133	SEM1	YDR363W-A	26S proteasome complex subunit SEM1	ng
NUP133	YKR082W	Nucleoporin NUP133	NTF2	YER009W	Nuclear transport factor 2	ng
NUP133	YKR082W	Nucleoporin NUP133	NUP157	YER105C	Nucleoporin NUP157	ng
NUP133	YKR082W	Nucleoporin NUP133	GLE2	YER107C	Nucleoporin GLE2	ng
NUP133	YKR082W	Nucleoporin NUP133	KAP123	YER110C	Importin subunit beta-4 {ECO:0000305}	ng
NUP133	YKR082W	Nucleoporin NUP133	NIC96	YFR002W	Nucleoporin NIC96	ng
NUP133	YKR082W	Nucleoporin NUP133	CKB1	YGL019W	Casein kinase II subunit beta	ng
NUP133	YKR082W	Nucleoporin NUP133	NUP57	YGR119C	Nucleoporin NUP57	ng
NUP133	YKR082W	Nucleoporin NUP133	IRE1	YHR079C	Serine/threonine-protein kinase/endoribonuclease IRE1 precursor	ng
NUP133	YKR082W	Nucleoporin NUP133	MGA2	YIR033W	Protein MGA2	ng
NUP133	YKR082W	Nucleoporin NUP133	NSP1	YJL041W	Nucleoporin NSP1	ng
NUP133	YKR082W	Nucleoporin NUP133	NUP82	YJL061W	Nucleoporin NUP82	ng
NUP133	YKR082W	Nucleoporin NUP133	TAH11	YJR046W	Cell division cycle protein CDT1	ng
NUP133	YKR082W	Nucleoporin NUP133	YKT6	YKL196C	Synaptobrevin homolog YKT6 precursor	ng
DAD2	YKR083C	DASH complex subunit DAD2	AME1	YBR211C	Central kinetochore subunit AME1	ng
DAD2	YKR083C	DASH complex subunit DAD2	DUO1	YGL061C	DASH complex subunit DUO1	ng
DAD2	YKR083C	DASH complex subunit DAD2	OKP1	YGR179C	Central kinetochore subunit OKP1	ng
PRP16	YKR086W	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16	PRP45	YAL032C	Pre-mRNA-processing protein 45	ng
PXL1	YKR090W	Paxillin-like protein 1	BEM2	YER155C	GTPase-activating protein BEM2/IPL2	ng
SRL3	YKR091W	Protein SRL3	FIN1	YDR130C	Filament protein FIN1	ng
SRL3	YKR091W	Protein SRL3	DNA2	YHR164C	DNA replication ATP-dependent helicase/nuclease DNA2	ng
SRP40	YKR092C	Suppressor protein SRP40	RPS13	YDR064W	40S ribosomal protein S13	ng
SRP40	YKR092C	Suppressor protein SRP40	PMP3	YDR276C	Plasma membrane proteolipid 3	ng
SRP40	YKR092C	Suppressor protein SRP40	SHE9	YDR393W	Sensitive to high expression protein 9, mitochondrial precursor	ng
SRP40	YKR092C	Suppressor protein SRP40	AST2	YER101C	Protein AST2	ng
SRP40	YKR092C	Suppressor protein SRP40	RPL29	YFR032C-A	60S ribosomal protein L29	ng
SRP40	YKR092C	Suppressor protein SRP40	RPL17A	YKL180W	60S ribosomal protein L17-A	ng
PTR2	YKR093W	Peptide transporter PTR2	PTH1	YHR189W	Peptidyl-tRNA hydrolase	ng
RPL40B	YKR094C	Ubiquitin-60S ribosomal protein L40 precursor	UBC4	YBR082C	Ubiquitin-conjugating enzyme E2 4	ng
RPL40B	YKR094C	Ubiquitin-60S ribosomal protein L40 precursor	AGP1	YCL025C	General amino acid permease AGP1	ng
